,available,code,image,link,name,num_merchants,num_reviews,price,region,snoothrank,tags,type,varietal,vintage,winery,winery_id
50,1,chateau-de-flaugergues-red-rhone-blend-coteaux-du-languedoc-la-mejanelle-cuvee-sommeliere-2007,http://ei.isnooth.com/multimedia/2/c/8/image_1186441_square.jpeg,http://www.snooth.com/wine/chateau-de-flaugergues-red-rhone-blend-coteaux-du-languedoc-la-mejanelle-cuvee-sommeliere-2007/,Château de Flaugergues Red Rhone Blend Coteaux du Languedoc la Méjanelle Cuvée Sommelière,1,6,11.99,France > Languedoc-roussillon > Languedoc > Coteaux du Languedoc > Clairette du Languedoc,n/a,,Red Wine,Grenache^Syrah,2007,Château de Flaugergues,chateau-de-flaugergues
51,1,antinori-brunello-pian-delle-vigne-2007,http://ei.isnooth.com/multimedia/3/c/6/image_2807040_square.jpeg,http://www.snooth.com/wine/antinori-brunello-pian-delle-vigne-2007/,Antinori Brunello Pian Delle Vigne,19,5,80.09,Italy > Tuscany,3,,Red Wine,Sangiovese,2007,Pian Delle Vigne,pian-delle-vigne
52,1,veramonte-primus-the-blend-colchagua-valley-2008,http://ei.isnooth.com/multimedia/7/e/6/image_3942119_square.jpeg,http://www.snooth.com/wine/veramonte-primus-the-blend-colchagua-valley-2008/,Veramonte Primus the Blend Colchagua Valley,178,96,22.99,Chile > Colchagua Valley,3.5,,Red Wine,Bordeaux Blend,2008,Veramonte,veramonte
53,1,paul-hobbs-malbec-2008-1,http://ei.isnooth.com/multimedia/8/6/8/image_1129394_square.jpeg,http://www.snooth.com/wine/paul-hobbs-malbec-2008-1/,Paul Hobbs Malbec,1,5,37.95,Argentina > Mendoza > Lujan de Cuyo,3,,Red Wine,Malbec,2008,Paul Hobbs Winery,paul-hobbs-winery
54,1,gravelly-ford-pinot-noir-private-reserve-2012,http://ei.isnooth.com/multimedia/4/9/8/image_3559346_square.jpeg,http://www.snooth.com/wine/gravelly-ford-pinot-noir-private-reserve-2012/,Gravelly Ford Pinot Noir Private Reserve,10,0,10.89,USA > California > Monterey County > Santa Lucia Highlands,n/a,,Red Wine,Pinot Noir,2012,Gravelly Ford,gravelly-ford
55,1,langtry-old-soldier-road-tephra-ridge-vineyard-2007,http://ei.isnooth.com/multimedia/b/6/1/image_2601887_square.jpeg,http://www.snooth.com/wine/langtry-old-soldier-road-tephra-ridge-vineyard-2007/,Langtry Old Soldier Road Tephra Ridge Vineyard,9,0,39.49,USA > California > Lake County,n/a,,Red Wine,Bordeaux Blend,2007,Langtry Estate & Vineyards,langtry-estate-and-vineyards
56,1,fisher-vineyards-cabernet-sauvignon-fisher-cameron-2003,http://ei.isnooth.com/multimedia/2/5/b/image_180166_square.jpeg,http://www.snooth.com/wine/fisher-vineyards-cabernet-sauvignon-fisher-cameron-2003/,Fisher Vineyards Cabernet Sauvignon Fisher Cameron,1,5,43.99,USA > California > Napa,4,,Red Wine,Cabernet Sauvignon,2003,Fisher Vineyards,fisher-vineyards
57,1,tenuta-san-guido-2007,http://ei.isnooth.com/multimedia/d/f/b/image_847700_square.jpeg,http://www.snooth.com/wine/tenuta-san-guido-2007/,Tenuta San Guido,3,3,286.5,Italy > Tuscany > Bolgheri > Bolgheri Sassicaia,n/a,,Red Wine,Bordeaux Blend,2007,Tenuta San Guido,tenuta-san-guido
58,1,tobin-james-zinfandel-paso-robles-dusi-vineyard-2007,http://ei.isnooth.com/multimedia/5/9/a/image_868886_square.jpeg,http://www.snooth.com/wine/tobin-james-zinfandel-paso-robles-dusi-vineyard-2007/,Tobin James Zinfandel Paso Robles Dusi Vineyard,112,4,29.99,USA > California > San Luis Obispo County > Paso Robles,3.5,,Red Wine,Zinfandel,2007,Tobin James,tobin-james
59,1,panarroz-mourvedre-blend-jumilla-panarroz-2007,http://ei.isnooth.com/multimedia/e/6/2/image_1144003_square.jpeg,http://www.snooth.com/wine/panarroz-mourvedre-blend-jumilla-panarroz-2007/,Panarroz Mourvedre Blend Jumilla Panarroz,1,5,6.99,Spain > Jumilla,3,,Red Wine,Mourvèdre,2007,Panarroz,panarroz
60,1,chalk-hill-estate-winery-cabernet-sauvignon-claras-vineyard-2007,http://ei.isnooth.com/multimedia/3/8/a/image_1189674_square.jpeg,http://www.snooth.com/wine/chalk-hill-estate-winery-cabernet-sauvignon-claras-vineyard-2007/,Chalk Hill Estate Winery Cabernet Sauvignon Clara's Vineyard,1,3,85.0,USA > California > Sonoma County > Chalk Hill,3.5,,Red Wine,Cabernet Sauvignon (51%); Merlot (23%); Malbec (14%); Petit Verdot (12%),2007,Chalk Hill Estate Vineyards & Winery,chalk-hill-estate-vineyards-and-winery
61,1,gnarled-vine-zinfandel-2007,http://ei.isnooth.com/multimedia/7/1/5/image_607644_square.jpeg,http://www.snooth.com/wine/gnarled-vine-zinfandel-2007/,Gnarled Vine Zinfandel,1,6,9.99,USA > California,3.5,,Red Wine,Zinfandel,2007,Oak Ridge Winery,oak-ridge-winery
62,1,hanna-winery-bismark-mountain-titan-2007,http://ei.isnooth.com/multimedia/d/4/e/image_1202947_square.png,http://www.snooth.com/wine/hanna-winery-bismark-mountain-titan-2007/,Hanna Winery Bismark Mountain Titan,5,1,58.0,USA > California > Sonoma County > Alexander Valley,3.5,,Red Wine,Cabernet Sauvignon,2007,Hanna Winery,hanna-winery
63,1,de-loach-merlot-russian-river-valley-2006-1,http://ei.isnooth.com/multimedia/f/1/0/image_906724_square.jpeg,http://www.snooth.com/wine/de-loach-merlot-russian-river-valley-2006-1/,De Loach Merlot Russian River Valley,1,6,23.54,USA > California > Sonoma County > Russian River Valley,n/a,,Red Wine,Merlot,2006,De Loach,de-loach
64,1,55242-heller-estate-cabernet-sauvignon-2004,http://ei.isnooth.com/multimedia/4/2/d/image_1010910_square.jpeg,http://www.snooth.com/wine/55242-heller-estate-cabernet-sauvignon-2004/,55242 Heller Estate Cabernet Sauvignon,1,7,28.99,USA > California > Monterey County > Carmel Valley,3,,Red Wine,Cabernet Sauvignon,2004,Heller Estates,heller-estates
